Trial ID,Preplanner,Replanner,Connectivity,Mission,Data Processing,Date,in_testing,in_abridged,in_year_2019,calcBoundsOpt
235,Centralized-MILP_priority,None,Intraconstellation,Urgency,Ground,2019-05-15,False,False,True,0
236,Centralized-MILP_priority,None,Intraconstellation,Urgency,Ground,2019-08-10,False,False,True,0
237,Centralized-MILP_priority,None,Intraconstellation,Urgency,Ground,2019-11-10,False,False,True,0
238,Centralized-MILP_priority,None,Intraconstellation,Urgency,Onboard,2019-05-15,False,False,True,0
239,Centralized-MILP_priority,None,Intraconstellation,Urgency,Onboard,2019-08-10,False,False,True,0
240,Centralized-MILP_priority,None,Intraconstellation,Urgency,Onboard,2019-11-10,False,False,True,0
241,Centralized-MILP_priority,None,Intraconstellation,Urgency,Instant,2019-05-15,False,False,True,0
242,Centralized-MILP_priority,None,Intraconstellation,Urgency,Instant,2019-08-10,False,False,True,0
243,Centralized-MILP_priority,None,Intraconstellation,Urgency,Instant,2019-11-10,False,False,True,0
244,DP,CBBA,GS,Co-observations,Ground,2019-05-15,False,False,True,0
245,DP,CBBA,GS,Co-observations,Ground,2019-08-10,False,False,True,0
246,DP,CBBA,GS,Co-observations,Ground,2019-11-10,False,False,True,0
247,DP,CBBA,GS,Co-observations,Onboard,2019-05-15,False,False,True,0
248,DP,CBBA,GS,Co-observations,Onboard,2019-08-10,False,False,True,0
249,DP,CBBA,GS,Co-observations,Onboard,2019-11-10,False,False,True,0
250,DP,CBBA,GS,Co-observations,Instant,2019-05-15,False,False,True,0
251,DP,CBBA,GS,Co-observations,Instant,2019-08-10,False,False,True,0
252,DP,CBBA,GS,Co-observations,Instant,2019-11-10,False,False,True,0
253,DP,CBBA,GS,Revisits,Ground,2019-05-15,False,False,True,0
254,DP,CBBA,GS,Revisits,Ground,2019-08-10,False,False,True,0
255,DP,CBBA,GS,Revisits,Ground,2019-11-10,False,False,True,0
256,DP,CBBA,GS,Revisits,Onboard,2019-05-15,False,False,True,0
257,DP,CBBA,GS,Revisits,Onboard,2019-08-10,False,False,True,0
258,DP,CBBA,GS,Revisits,Onboard,2019-11-10,False,False,True,0
259,DP,CBBA,GS,Revisits,Instant,2019-05-15,False,False,True,0
260,DP,CBBA,GS,Revisits,Instant,2019-08-10,False,False,True,0
261,DP,CBBA,GS,Revisits,Instant,2019-11-10,False,False,True,0
262,DP,CBBA,GS,Urgency,Ground,2019-05-15,False,False,True,0
263,DP,CBBA,GS,Urgency,Ground,2019-08-10,False,False,True,0
264,DP,CBBA,GS,Urgency,Ground,2019-11-10,False,False,True,0
265,DP,CBBA,GS,Urgency,Onboard,2019-05-15,False,False,True,0
266,DP,CBBA,GS,Urgency,Onboard,2019-08-10,False,False,True,0
267,DP,CBBA,GS,Urgency,Onboard,2019-11-10,False,False,True,0
268,DP,CBBA,GS,Urgency,Instant,2019-05-15,False,False,True,0
