Trial ID,Preplanner,Replanner,Num Sats,Latency,Task Arrival Rate,Target Distribution,Scenario,in_stress,in_connectivity,in_validation,task_id
355,None,Greedy,96,Low,500,60.0,1,False,False,True,17
356,None,CBBA,192,High,50,60.0,2,False,True,True,17
357,None,CBBA,192,Medium,100,60.0,0,False,True,True,17
358,None,Greedy,192,Medium,500,60.0,0,False,False,True,17
359,None,CBBA,192,Medium,500,60.0,0,False,True,True,17
360,None,Greedy,12,Medium,10,60.0,1,False,False,True,18
361,DP,Greedy,24,High,10,60.0,1,False,False,True,18
362,DP,None,24,Low,50,60.0,1,False,False,True,18
363,None,CBBA,12,Medium,50,60.0,0,False,True,True,18
364,DP,None,12,Low,500,60.0,1,False,False,True,18
365,DP,Greedy,48,Low,50,60.0,0,False,False,True,18
366,None,CBBA,24,Low,100,60.0,0,True,True,True,18
367,None,Greedy,192,Low,10,60.0,1,False,False,True,18
368,DP,None,48,High,100,60.0,2,False,False,True,18
369,None,CBBA,12,High,500,60.0,2,False,True,True,18
370,DP,None,96,Low,100,60.0,2,False,False,True,18
371,DP,CBBA,48,Medium,100,60.0,0,False,False,True,18
372,None,CBBA,192,High,10,60.0,0,False,True,True,18
373,None,CBBA,96,High,50,60.0,1,False,True,True,18
374,DP,CBBA,24,Medium,1000,60.0,2,False,False,True,18
375,DP,None,192,High,100,60.0,2,False,False,True,18
376,DP,None,96,Low,1000,60.0,1,False,False,True,18
377,DP,None,96,High,1000,60.0,0,False,False,True,18
378,DP,Greedy,192,Medium,500,60.0,0,False,False,True,18
379,DP,CBBA,192,High,500,60.0,1,False,False,True,18
380,DP,Greedy,12,Medium,10,60.0,0,False,False,True,19
381,None,Greedy,24,High,10,60.0,2,False,False,True,19
382,DP,None,24,Low,50,60.0,0,False,False,True,19
383,None,CBBA,12,Medium,50,60.0,1,False,True,True,19
384,DP,None,12,Low,500,60.0,0,False,False,True,19
385,DP,Greedy,48,Low,50,60.0,1,False,False,True,19
386,None,CBBA,24,Low,100,60.0,1,True,True,True,19
387,None,Greedy,192,Low,10,60.0,2,False,False,True,19
388,DP,None,48,High,100,60.0,1,False,False,True,19
389,None,CBBA,12,High,500,60.0,1,False,True,True,19
390,DP,None,96,Low,100,60.0,0,False,False,True,19
391,DP,CBBA,48,Medium,100,60.0,1,False,False,True,19
392,None,CBBA,192,High,10,60.0,1,False,True,True,19
393,None,CBBA,96,High,50,60.0,2,False,True,True,19
394,None,CBBA,24,Medium,1000,60.0,1,False,True,True,19
395,DP,None,192,High,100,60.0,0,False,False,True,19
396,DP,None,96,Low,1000,60.0,0,False,False,True,19
397,DP,None,96,High,1000,60.0,1,False,False,True,19
398,DP,Greedy,192,Medium,500,60.0,1,False,False,True,19
399,None,CBBA,192,High,500,60.0,2,False,True,True,19
400,None,Greedy,12,Medium,10,60.0,0,False,False,True,20
401,None,Greedy,24,High,10,60.0,1,False,False,True,20
402,DP,None,24,Low,50,60.0,2,False,False,True,20
403,None,CBBA,12,Medium,50,60.0,2,False,True,True,20
404,DP,None,12,Low,500,60.0,2,False,False,True,20
405,DP,Greedy,48,Low,50,60.0,2,False,False,True,20
406,None,CBBA,24,Low,100,60.0,2,True,True,True,20
407,DP,Greedy,192,Low,10,60.0,0,False,False,True,20
408,DP,None,48,High,100,60.0,0,False,False,True,20
409,None,CBBA,12,High,500,60.0,0,False,True,True,20
410,DP,None,96,Low,100,60.0,1,False,False,True,20
411,DP,CBBA,48,Medium,100,60.0,2,False,False,True,20
412,None,CBBA,192,High,10,60.0,2,False,True,True,20
413,DP,CBBA,96,High,50,60.0,1,False,False,True,20
414,None,CBBA,24,Medium,1000,60.0,2,False,True,True,20
415,DP,None,192,High,100,60.0,1,False,False,True,20
416,DP,None,96,Low,1000,60.0,2,False,False,True,20
417,DP,None,96,High,1000,60.0,2,False,False,True,20
418,DP,Greedy,192,Medium,500,60.0,2,False,False,True,20
419,DP,CBBA,192,High,500,60.0,2,False,False,True,20
420,DP,Greedy,12,High,10,60.0,0,False,False,True,21
421,None,Greedy,24,High,10,60.0,0,False,False,True,21
422,None,CBBA,24,Medium,10,60.0,0,False,True,True,21
423,DP,None,24,Medium,50,60.0,1,False,False,True,21
424,None,CBBA,12,Medium,100,60.0,2,False,True,True,21
425,None,Greedy,48,Low,50,60.0,0,False,False,True,21
426,DP,CBBA,24,Low,100,60.0,2,False,False,True,21
427,DP,Greedy,192,Low,10,60.0,1,False,False,True,21
428,None,Greedy,12,High,1000,60.0,0,False,False,True,21
429,DP,Greedy,192,High,10,60.0,0,False,False,True,21
430,None,Greedy,96,Medium,50,60.0,1,False,False,True,21
431,None,CBBA,48,Medium,100,60.0,0,False,True,True,21
432,DP,Greedy,96,Medium,100,60.0,2,False,False,True,21
433,DP,None,48,Low,1000,60.0,0,False,False,True,21
434,DP,CBBA,48,Low,500,60.0,2,False,False,True,21
435,None,Greedy,48,High,1000,60.0,2,False,False,True,21
436,DP,Greedy,96,Medium,500,60.0,0,False,False,True,21
437,DP,CBBA,192,High,100,60.0,1,False,False,True,21
438,DP,Greedy,192,High,500,60.0,1,False,False,True,21
439,None,CBBA,192,High,500,60.0,1,False,True,True,21
440,DP,Greedy,12,High,10,60.0,1,False,False,True,22
441,DP,Greedy,24,High,10,60.0,2,False,False,True,22
442,DP,CBBA,24,Medium,10,60.0,2,False,False,True,22
443,DP,None,24,Medium,50,60.0,2,False,False,True,22
444,DP,CBBA,12,Medium,100,60.0,1,False,False,True,22
445,None,Greedy,48,Low,50,60.0,1,False,False,True,22
446,DP,CBBA,24,Low,100,60.0,1,False,False,True,22
447,DP,Greedy,192,Low,10,60.0,2,False,False,True,22
448,DP,Greedy,12,High,1000,60.0,2,False,False,True,22
449,DP,Greedy,192,High,10,60.0,1,False,False,True,22
450,None,Greedy,96,Medium,50,60.0,2,False,False,True,22
